#4238 - Liegnitz (Liegnitz+Schweidnitz+Jauer+Glatz+Neisse+Münsterberg)

#Coal
<<<<<<< Updated upstream
owner = CRI
controller = CRI
=======
owner = Z7K
controller = Z7K
>>>>>>> Stashed changes
culture = ruthenian
religion = orthodox
capital = "Yelisavetgrad"
trade_goods = grain
hre = no
base_tax = 1
base_production = 1
is_city = yes 
base_manpower = 1
add_core = Z7K
add_core = KIE
discovered_by = KAZ
discovered_by = CRI
discovered_by = GOL
discovered_by = AST
discovered_by = QAS
discovered_by = western
discovered_by = eastern
discovered_by = muslim
discovered_by = ottoman
